Date,Status,Client_ID
4/6/2020,Completed,1
4/6/2020,Completed,2
4/6/2020,Completed,5
4/6/2020,Completed,3
4/6/2020,Completed,4
4/6/2020,Completed,5
4/6/2020,Completed,10
4/6/2020,Completed,6
4/6/2020,Completed,12
4/6/2020,Completed,13
4/6/2020,Completed,7
4/6/2020,Completed,15
4/6/2020,Completed,8
4/6/2020,Completed,9
4/6/2020,Completed,10
4/6/2020,Completed,20
4/6/2020,Completed,11
4/6/2020,Completed,12
4/6/2020,Completed,23
4/6/2020,Completed,13
4/6/2020,Completed,27
4/6/2020,Completed,14
4/6/2020,Completed,31
4/6/2020,Completed,32
4/6/2020,Completed,15
4/6/2020,Completed,16
4/6/2020,Completed,17
4/6/2020,Completed,18
4/6/2020,Completed,19
4/6/2020,Completed,20
4/6/2020,Completed,40
4/6/2020,Completed,41
4/6/2020,Completed,21
4/6/2020,Completed,22
4/6/2020,Completed,23
4/6/2020,Completed,47
4/6/2020,Completed,24
4/6/2020,Completed,49
4/6/2020,Completed,25
4/6/2020,Completed,26
4/6/2020,Completed,27
4/6/2020,Completed,28
4/6/2020,Completed,29
4/6/2020,Completed,30
4/6/2020,Completed,31
4/6/2020,Completed,57
4/6/2020,Completed,58
4/6/2020,Completed,32
4/6/2020,Completed,62
4/6/2020,Completed,63
4/6/2020,Completed,33
4/6/2020,Completed,65
4/6/2020,Completed,34
4/6/2020,Completed,68
4/6/2020,Completed,35
4/6/2020,Completed,36
4/6/2020,Completed,72
4/6/2020,Completed,37
4/6/2020,Completed,38
4/6/2020,Completed,39
4/6/2020,Completed,76
4/6/2020,Completed,40
4/6/2020,Completed,79
4/6/2020,Completed,82
4/6/2020,Completed,41
4/6/2020,Completed,42
4/6/2020,Completed,43
4/13/2020,Completed,21
4/13/2020,Completed,57
4/13/2020,Completed,17
4/13/2020,Completed,5
4/13/2020,Completed,63
4/13/2020,Completed,56
4/13/2020,Completed,82
4/13/2020,Completed,27
4/13/2020,Completed,36
4/13/2020,Completed,109
4/13/2020,Completed,76
4/13/2020,Completed,45
4/13/2020,Completed,46
4/13/2020,Completed,49
4/13/2020,Completed,26
4/13/2020,Completed,13
4/13/2020,Completed,33
4/13/2020,Completed,53
4/13/2020,Completed,16
4/13/2020,Completed,49
4/13/2020,Completed,20
4/13/2020,Completed,41
4/13/2020,Completed,7
4/13/2020,Completed,2
4/13/2020,Completed,55
4/13/2020,Completed,1
4/13/2020,Completed,23
4/13/2020,Completed,57
4/13/2020,Completed,51
4/13/2020,Completed,52
4/13/2020,Completed,5
4/13/2020,Completed,41
4/13/2020,Completed,43
4/13/2020,Completed,48
4/13/2020,Completed,4
4/13/2020,Completed,12
